Index,zn1.Close,zn2.Close
2016/3/1 9:01,14075,14145
2016/3/1 9:02,14095,14160
2016/3/1 9:03,14095,14160
2016/3/1 9:04,14095,14165
2016/3/1 9:05,14120,14190
2016/3/1 9:06,14115,14180
2016/3/1 9:07,14110,14170
2016/3/1 9:08,14110,14175
2016/3/1 9:09,14105,14170
2016/3/1 9:10,14105,14170
2016/3/1 9:11,14120,14180
2016/3/1 9:12,14105,14170
2016/3/1 9:13,14105,14170
2016/3/1 9:14,14110,14175
2016/3/1 9:15,14105,14175
2016/3/1 9:16,14120,14185
2016/3/1 9:17,14125,14190
2016/3/1 9:18,14115,14185
2016/3/1 9:19,14135,14195
2016/3/1 9:20,14125,14190
2016/3/1 9:21,14135,14205
2016/3/1 9:22,14140,14210
2016/3/1 9:23,14140,14200
2016/3/1 9:24,14135,14205
2016/3/1 9:25,14140,14205
2016/3/1 9:26,14135,14205
2016/3/1 9:27,14130,14205
2016/3/1 9:28,14115,14180
2016/3/1 9:29,14115,14185
2016/3/1 9:30,14110,14165
2016/3/1 9:31,14110,14170
2016/3/1 9:32,14100,14165
2016/3/1 9:33,14110,14175
2016/3/1 9:34,14115,14180
2016/3/1 9:35,14120,14185
2016/3/1 9:36,14120,14185
2016/3/1 9:37,14125,14185
2016/3/1 9:38,14115,14180
2016/3/1 9:39,14110,14175
2016/3/1 9:40,14100,14170
2016/3/1 9:41,14110,14175
2016/3/1 9:42,14115,14175
2016/3/1 9:43,14120,14185
2016/3/1 9:44,14115,14180
2016/3/1 9:45,14110,14180
2016/3/1 9:46,14120,14180
2016/3/1 9:47,14120,14185
2016/3/1 9:48,14110,14175
2016/3/1 9:49,14110,14170
2016/3/1 9:50,14095,14155
2016/3/1 9:51,14090,14150
2016/3/1 9:52,14090,14160
2016/3/1 9:53,14085,14145
2016/3/1 9:54,14080,14145
2016/3/1 9:55,14075,14140
2016/3/1 9:56,14065,14130
2016/3/1 9:57,14060,14125
2016/3/1 9:58,14055,14120
2016/3/1 9:59,14045,14105
2016/3/1 10:00,14040,14105
2016/3/1 10:01,14020,14090
2016/3/1 10:02,14030,14090
2016/3/1 10:03,14035,14100
2016/3/1 10:04,14025,14090
2016/3/1 10:05,14030,14090
2016/3/1 10:06,14010,14080
2016/3/1 10:07,14025,14090
2016/3/1 10:08,14035,14095
2016/3/1 10:09,14025,14085
2016/3/1 10:10,14030,14095
2016/3/1 10:11,14030,14100
2016/3/1 10:12,14040,14105
2016/3/1 10:13,14035,14105
2016/3/1 10:14,14040,14100
2016/3/1 10:15,14030,14090
2016/3/1 10:31,14010,14075
2016/3/1 10:32,14010,14065
2016/3/1 10:33,14010,14070
2016/3/1 10:34,14015,14075
2016/3/1 10:35,14010,14075
2016/3/1 10:36,14005,14070
2016/3/1 10:37,14005,14070
2016/3/1 10:38,14010,14070
2016/3/1 10:39,14010,14075
2016/3/1 10:40,14000,14070
2016/3/1 10:41,14005,14075
2016/3/1 10:42,14005,14070
2016/3/1 10:43,14010,14070
2016/3/1 10:44,14010,14070
2016/3/1 10:45,14005,14070
2016/3/1 10:46,14010,14070
2016/3/1 10:47,13995,14060
2016/3/1 10:48,13985,14050
2016/3/1 10:49,13980,14045
2016/3/1 10:50,13975,14035
2016/3/1 10:51,13985,14045
2016/3/1 10:52,13980,14045
2016/3/1 10:53,13990,14060
2016/3/1 10:54,13995,14060
2016/3/1 10:55,13995,14060
2016/3/1 10:56,13990,14055
2016/3/1 10:57,13990,14055
2016/3/1 10:58,13985,14045
2016/3/1 10:59,13990,14050
2016/3/1 11:00,13995,14055
2016/3/1 11:01,13980,14045
2016/3/1 11:02,13990,14055
2016/3/1 11:03,13990,14055
2016/3/1 11:04,13995,14055
2016/3/1 11:05,13990,14050
2016/3/1 11:06,13995,14055
2016/3/1 11:07,13995,14060
2016/3/1 11:08,13980,14050
2016/3/1 11:09,13990,14050
2016/3/1 11:10,13980,14045
2016/3/1 11:11,13985,14045
2016/3/1 11:12,13995,14050
2016/3/1 11:13,13990,14050
2016/3/1 11:14,13990,14050
2016/3/1 11:15,13990,14050
2016/3/1 11:16,13995,14050
2016/3/1 11:17,13995,14055
2016/3/1 11:18,13980,14045
2016/3/1 11:19,13985,14045
2016/3/1 11:20,13980,14040
2016/3/1 11:21,13975,14035
2016/3/1 11:22,13965,14025
2016/3/1 11:23,13955,14020
2016/3/1 11:24,13965,14030
2016/3/1 11:25,13935,13995
2016/3/1 11:26,13900,13960
2016/3/1 11:27,13920,13975
2016/3/1 11:28,13915,13975
2016/3/1 11:29,13925,13980
2016/3/1 11:30,13915,13965
2016/3/1 13:31,13925,13985
2016/3/1 13:32,13940,13995
2016/3/1 13:33,13940,13995
2016/3/1 13:34,13950,14005
2016/3/1 13:35,13945,14000
2016/3/1 13:36,13950,14005
2016/3/1 13:37,13955,14015
2016/3/1 13:38,13945,14010
2016/3/1 13:39,13950,14010
2016/3/1 13:40,13960,14025
2016/3/1 13:41,13965,14025
2016/3/1 13:42,13955,14015
2016/3/1 13:43,13980,14035
2016/3/1 13:44,13965,14025
2016/3/1 13:45,13970,14035
2016/3/1 13:46,14000,14055
2016/3/1 13:47,14005,14060
2016/3/1 13:48,14000,14055
2016/3/1 13:49,14010,14065
2016/3/1 13:50,14010,14065
2016/3/1 13:51,14020,14075
2016/3/1 13:52,14020,14080
2016/3/1 13:53,14005,14065
2016/3/1 13:54,14005,14065
2016/3/1 13:55,14025,14090
2016/3/1 13:56,14030,14095
2016/3/1 13:57,14025,14085
2016/3/1 13:58,14025,14085
2016/3/1 13:59,14025,14085
2016/3/1 14:00,14030,14085
2016/3/1 14:01,14045,14100
2016/3/1 14:02,14025,14085
2016/3/1 14:03,14020,14075
2016/3/1 14:04,14010,14065
2016/3/1 14:05,14005,14065
2016/3/1 14:06,14010,14070
2016/3/1 14:07,14025,14085
2016/3/1 14:08,14025,14090
2016/3/1 14:09,14030,14095
2016/3/1 14:10,14035,14095
2016/3/1 14:11,14025,14090
2016/3/1 14:12,14020,14080
2016/3/1 14:13,14025,14080
2016/3/1 14:14,14025,14085
2016/3/1 14:15,14035,14090
2016/3/1 14:16,14015,14075
2016/3/1 14:17,14020,14080
2016/3/1 14:18,14020,14075
2016/3/1 14:19,14030,14090
2016/3/1 14:20,14030,14090
2016/3/1 14:21,14025,14085
2016/3/1 14:22,14030,14085
2016/3/1 14:23,14030,14085
2016/3/1 14:24,14020,14085
2016/3/1 14:25,14025,14090
2016/3/1 14:26,14020,14080
2016/3/1 14:27,14035,14085
2016/3/1 14:28,14015,14075
2016/3/1 14:29,14020,14085
2016/3/1 14:30,14025,14085
2016/3/1 14:31,14040,14100
2016/3/1 14:32,14035,14095
2016/3/1 14:33,14035,14095
2016/3/1 14:34,14035,14090
2016/3/1 14:35,14025,14090
2016/3/1 14:36,14030,14095
2016/3/1 14:37,14035,14090
2016/3/1 14:38,14020,14085
2016/3/1 14:39,14025,14080
2016/3/1 14:40,14025,14080
2016/3/1 14:41,14015,14080
2016/3/1 14:42,14020,14080
2016/3/1 14:43,14030,14085
2016/3/1 14:44,14030,14090
2016/3/1 14:45,14035,14095
2016/3/1 14:46,14035,14095
2016/3/1 14:47,14035,14105
2016/3/1 14:48,14050,14110
2016/3/1 14:49,14060,14120
2016/3/1 14:50,14085,14140
2016/3/1 14:51,14085,14150
2016/3/1 14:52,14085,14145
2016/3/1 14:53,14090,14150
2016/3/1 14:54,14100,14160
2016/3/1 14:55,14095,14160
2016/3/1 14:56,14105,14165
2016/3/1 14:57,14095,14155
2016/3/1 14:58,14085,14150
2016/3/1 14:59,14090,14150
2016/3/1 15:00,14095,14150
